feature,importance
education_Doctorate degree(PhD EdD),1.4344022166492647
education_Prof school degree (MD DDS DVM LLB JD),1.323061376844694
education_Masters degree(MA MS MEng MEd MSW MBA),1.3029603792643376
tax filer stat_Nonfiler,1.2736233932423102
education_7th and 8th grade,0.8661193078997079
education_10th grade,0.8586098200496945
major occupation code_Professional specialty,0.8553412296617205
sex_Female,0.8015693202066142
education_Bachelors degree(BA AB BS),0.7723677641209997
education_11th grade,0.7516011770017758
class of worker_Self-employed-incorporated,0.7369787850213984
education_9th grade,0.7154039434201493
detailed occupation recode_12,0.7032995112607103
detailed occupation recode_11,0.6762723205969152
major occupation code_Other service,0.6552282467420463
class of worker_State government,0.6194279610699857
major occupation code_Handlers equip cleaners etc ,0.6139651809467918
detailed occupation recode_7,0.6110701473633338
detailed occupation recode_2,0.606011090440394
full or part time employment stat_Children or Armed Forces,0.5854673304310402
detailed occupation recode_31,0.5418321531266465
detailed occupation recode_10,0.5346122815092463
detailed industry recode_13,0.5229116899466816
education_5th or 6th grade,0.5214871845874095
detailed occupation recode_19,0.4949043896945248
detailed industry recode_44,0.4897387473579956
major industry code_Social services,0.4897387473579956
own business or self employed_2,0.4893352697935378
fill inc questionnaire for veteran's admin_Not in universe,0.4843107839607739
detailed occupation recode_26,0.4728442595852524
detailed industry recode_25,0.47179112590317196
major occupation code_Adm support including clerical,0.46917253334951103
major occupation code_Sales,0.4604756544057771
detailed household summary in household_Child 18 or older,0.45430755425393926
major occupation code_Executive admin and managerial,0.45272354037749696
education_High school graduate,0.4518376234700035
tax filer stat_Head of household,0.438437190222522
detailed household summary in household_Child under 18 never married,0.43415848559403003
detailed household and family stat_Child <18 never marr not in subfamily,0.4316811663386553
enroll in edu inst last wk_College or university,0.424992423836984
class of worker_Local government,0.42278185706108634
own business or self employed_0,0.41856484051974463
tax filer stat_Joint both under 65,0.3937245199981877
year_94,0.3779207365257683
detailed occupation recode_41,0.36842691133034644
own business or self employed_1,0.3519766848334623
live in this house 1 year ago_No,0.3502161178442047
major occupation code_Machine operators assmblrs & inspctrs,0.3460020795634807
detailed occupation recode_15,0.3440687756754343
detailed occupation recode_18,0.3438951818292612
education_Children,0.3416649107507054
detailed industry recode_19,0.34153171193298254
veterans benefits_0,0.3413386184979541
detailed occupation recode_17,0.33864970760406976
region of previous residence_Midwest,0.32364148411379184
education_1st 2nd 3rd or 4th grade,0.3227001856110204
detailed occupation recode_21,0.3208729792437635
family members under 18_Both parents present,0.3196801232709894
detailed occupation recode_42,0.31788966069732755
detailed industry recode_31,0.3174058217977559
major industry code_Utilities and sanitary services,0.3174058217977559
detailed occupation recode_44,0.3016147608562274
education_12th grade no diploma,0.29771859161523206
detailed industry recode_33,0.2962955899524904
major industry code_Retail trade,0.2962955899524904
detailed industry recode_43,0.2943721327540843
major industry code_Education,0.2943721327540843
detailed household and family stat_Child 18+ never marr Not in a subfamily,0.2929256484493938
marital stat_Never married,0.2916011304125478
migration code-change in msa_NonMSA to nonMSA,0.2907409229165715
race_Black,0.28812570617239386
major occupation code_Farming forestry and fishing,0.2857830925573547
detailed household summary in household_Householder,0.2841576922906858
detailed occupation recode_16,0.283132510514393
member of a labor union_No,0.2805718235098389
member of a labor union_Not in universe,0.2788357838691379
major industry code_Mining,0.2787436431920603
detailed industry recode_3,0.2787436431920603
detailed industry recode_47,0.27806239060307425
hispanic origin_Mexican (Mexicano),0.27055777951183235
detailed occupation recode_29,0.2623289130744866
major occupation code_Protective services,0.25354127263555765
detailed occupation recode_28,0.25354127263555765
country of birth father_Mexico,0.24795277869611998
sex_Male,0.24564589472664425
hispanic origin_Central or South American,0.23995030758036326
detailed occupation recode_38,0.23079120002164472
class of worker_Private,0.2217650082207028
detailed industry recode_6,0.22138622216087725
detailed occupation recode_36,0.22045070029722014
detailed occupation recode_4,0.2189260669269602
country of birth self_Mexico,0.21676108947525063
detailed household and family stat_Nonfamily householder,0.21664004187529307
marital stat_Separated,0.21081417278582534
detailed industry recode_30,0.20628478935128702
major industry code_Communications,0.20628478935128702
state of previous residence_Not in universe,0.20570730763533324
region of previous residence_Not in universe,0.20570730763533324
detailed industry recode_26,0.20324083619778946
detailed occupation recode_8,0.20210795317937627
citizenship_Foreign born- Not a citizen of U S ,0.20043095937061645
migration prev res in sunbelt_Yes,0.19619204161995255
hispanic origin_Missing,0.1955114697676757
country of birth father_Ireland,0.19055918319590182
live in this house 1 year ago_Not in universe under 1 year old,0.18938474530865237
detailed industry recode_5,0.18634738079338373
detailed industry recode_39,0.1861991949156257
major industry code_Personal services except private HH,0.1861991949156257
detailed occupation recode_13,0.18435729308950155
detailed occupation recode_9,0.18293115417277048
detailed industry recode_38,0.1829096633743286
major industry code_Transportation,0.17994057926258278
detailed industry recode_29,0.17994057926258278
year_95,0.17800268895403065
migration code-move within reg_?,0.17800268895403054
migration prev res in sunbelt_?,0.17800268895403054
migration code-change in reg_?,0.17800268895403054
migration code-change in msa_?,0.17800268895403054
marital stat_Married-spouse absent,0.17373036304104686
detailed industry recode_48,0.17194508795798186
detailed occupation recode_5,0.17139376223446318
citizenship_Native- Born in Puerto Rico or U S Outlying,0.1712921359980108
detailed occupation recode_32,0.16996470916157896
reason for unemployment_Not in universe,0.1665728722132247
reason for unemployment_Job loser - on layoff,0.16623172904168454
country of birth mother_Portugal,0.1641480054455242
region of previous residence_South,0.16336109468229462
migration code-change in reg_Same county,0.16078637338991575
migration code-move within reg_Same county,0.16078637338991575
country of birth self_Scotland,0.15878444738072833
major industry code_Manufacturing-durable goods,0.15589213082997486
detailed industry recode_24,0.15532430834758504
full or part time employment stat_Unemployed part- time,0.15451230187777037
migration code-change in msa_MSA to nonMSA,0.15442778576207722
migration prev res in sunbelt_No,0.1540240762242742
country of birth father_Portugal,0.15165353399043774
country of birth mother_Puerto-Rico,0.15066363325878315
major occupation code_Technicians and related support,0.14975143848061767
education_Associates degree-occup /vocational,0.14776836364766913
major occupation code_Transportation and material moving,0.14705376677818685
education_Less than 1st grade,0.14392361256228872
detailed occupation recode_25,0.14351790418126287
veterans benefits_2,0.1429721654629785
state of previous residence_California,0.14237249636364832
country of birth father_El-Salvador,0.14216864730265638
country of birth mother_Scotland,0.13912218968478837
hispanic origin_Puerto Rican,0.1367940112169578
country of birth self_Puerto-Rico,0.1354286461432139
num persons worked for employer,0.1342595167566569
marital stat_Married-civilian spouse present,0.13362219573349465
detailed occupation recode_23,0.1336159839371708
race_Asian or Pacific Islander,0.13323133408169086
country of birth self_England,0.13278462641580413
detailed industry recode_36,0.13264557325499993
major industry code_Private household services,0.13264557325499993
enroll in edu inst last wk_High school,0.12958012282253947
family members under 18_Mother only present,0.12898209309441064
detailed occupation recode_24,0.12823661370438022
detailed industry recode_9,0.1282226067793431
major industry code_Medical except hospital,0.1265199499091568
detailed industry recode_42,0.1265199499091568
full or part time employment stat_Not in labor force,0.12647013229857149
detailed occupation recode_37,0.12555137926625978
race_Amer Indian Aleut or Eskimo,0.12486972880327621
detailed industry recode_23,0.12457363877360181
detailed industry recode_14,0.12364710863185567
reason for unemployment_Re-entrant,0.11859602239203407
citizenship_Native- Born abroad of American Parent(s),0.11726898902362021
state of previous residence_Indiana,0.11710752737840711
detailed household and family stat_Spouse of householder,0.11617692593862547
major occupation code_Private household services,0.11595042678358487
detailed occupation recode_27,0.11595042678358487
detailed household and family stat_Secondary individual,0.11469376016659028
detailed industry recode_41,0.11095189429742995
major industry code_Hospital services,0.11095189429742995
major industry code_Manufacturing-nondurable goods,0.11067517971540403
detailed household summary in household_Spouse of householder,0.11025131176396255
detailed industry recode_20,0.11023460108885609
detailed industry recode_21,0.1100965233656397
state of previous residence_Montana,0.10989225261185842
reason for unemployment_Other job loser,0.10918373357811928
full or part time employment stat_Full-time schedules,0.10488110588935595
detailed household and family stat_RP of unrelated subfamily,0.1043036984894297
country of birth father_?,0.10375929831490097
country of birth self_Canada,0.10292651301224531
detailed industry recode_22,0.10203723142108564
detailed household and family stat_Child 18+ ever marr Not in a subfamily,0.10015871196362115
major industry code_Business and repair services,0.09825133912774675
detailed household summary in household_Other relative of householder,0.09664183838733895
state of previous residence_North Dakota,0.0932912136645406
detailed industry recode_12,0.09298198194037564
detailed industry recode_50,0.09265702297768444
detailed household and family stat_Other Rel 18+ ever marr RP of subfamily,0.08964639571785445
detailed occupation recode_22,0.0881692488147786
class of worker_Not in universe,0.08809660136461647
country of birth self_Cuba,0.08723736772032718
country of birth father_England,0.08707302778990171
detailed industry recode_11,0.08566239662736022
hispanic origin_Other Spanish,0.08539862767879583
detailed industry recode_37,0.08465832424657935
detailed occupation recode_39,0.08373743324345545
state of previous residence_Mississippi,0.08364884602222569
migration code-move within reg_Different state in Northeast,0.08348348804218095
country of birth mother_Italy,0.08235118928679987
tax filer stat_Joint both 65+,0.08191914075318345
country of birth mother_United-States,0.08115255068747933
country of birth father_Puerto-Rico,0.08067234462192487
detailed occupation recode_1,0.07999353366969726
country of birth mother_Mexico,0.0797057561148971
state of previous residence_Georgia,0.07860731926546734
hispanic origin_Do not know,0.07834952780506764
marital stat_Divorced,0.0776160452659895
fill inc questionnaire for veteran's admin_Yes,0.07636689310567052
country of birth father_Germany,0.07594805439872519
detailed occupation recode_3,0.07329401639320617
detailed occupation recode_40,0.07235139108088184
major industry code_Finance insurance and real estate,0.07216369192843791
detailed industry recode_34,0.07210627830614684
migration code-change in reg_Different region,0.07188320593893978
veterans benefits_1,0.07161264151878531
country of birth mother_England,0.0711273368873832
state of previous residence_?,0.07108888901026111
detailed household and family stat_Householder,0.07101764106901384
country of birth mother_Columbia,0.07073637627013526
country of birth self_Columbia,0.07030190490796658
country of birth self_China,0.06989000968125089
country of birth self_El-Salvador,0.06966860683323793
state of previous residence_New Mexico,0.06954462676255636
state of previous residence_Massachusetts,0.06888441914629405
major occupation code_Precision production craft & repair,0.06862234567794194
migration code-change in msa_MSA to MSA,0.06819541048901255
detailed industry recode_17,0.0678180913250969
detailed industry recode_18,0.06737497779665193
country of birth mother_Philippines,0.06672076693942458
country of birth mother_El-Salvador,0.06628554676414468
marital stat_Married-A F spouse present,0.06509587707542262
family members under 18_Not in universe,0.06416657236929796
country of birth father_Guatemala,0.06377901582189557
class of worker_Without pay,0.06347498148533291
region of previous residence_Northeast,0.06299331416685401
region of previous residence_West,0.06181328898132249
detailed industry recode_45,0.06127308119134569
major industry code_Other professional services,0.06127308119134569
state of previous residence_Pennsylvania,0.06079830484583133
country of birth self_Nicaragua,0.06066903247689362
full or part time employment stat_Unemployed full-time,0.0604121506734586
detailed household and family stat_Spouse of RP of unrelated subfamily,0.06029786233133628
country of birth self_Taiwan,0.058954860462088636
detailed household summary in household_Nonrelative of householder,0.057428972792865796
country of birth mother_Guatemala,0.056773441585242466
major industry code_Agriculture,0.05664616701962646
migration code-change in msa_Not identifiable,0.05648405765538985
state of previous residence_Arizona,0.056193655840354476
country of birth mother_Nicaragua,0.05597240549261502
country of birth mother_Poland,0.055936104838051226
detailed industry recode_27,0.054009557890437765
education_Associates degree-academic program,0.05379494706511038
state of previous residence_Nevada,0.05363296874391261
major occupation code_Not in universe,0.05307083817085453
detailed industry recode_0,0.05307083817085453
major industry code_Not in universe or children,0.05307083817085453
detailed occupation recode_0,0.05307083817085453
detailed occupation recode_35,0.05300281361043546
detailed household and family stat_Other Rel 18+ ever marr not in subfamily,0.05267507151536316
country of birth father_Italy,0.051506769874921046
race_Other,0.05032833338223192
state of previous residence_District of Columbia,0.049818971073100536
country of birth mother_Taiwan,0.04961225843500006
migration code-change in reg_Different county same state,0.049527016083538856
migration code-move within reg_Different county same state,0.049527016083538856
country of birth mother_Haiti,0.04921552699127621
state of previous residence_Texas,0.048952187260990196
country of birth self_?,0.04811357689739328
country of birth father_Taiwan,0.048088965460953884
country of birth father_Cambodia,0.04805911664398904
major industry code_Entertainment,0.04805704769891148
detailed industry recode_40,0.04805704769891148
migration code-move within reg_Different state in South,0.04799238841923598
full or part time employment stat_PT for non-econ reasons usually FT,0.047060500714547406
country of birth mother_Dominican-Republic,0.04693158455653811
full or part time employment stat_PT for econ reasons usually FT,0.046697880914049646
detailed occupation recode_34,0.04663163372899158
state of previous residence_Missouri,0.04531374301187381
country of birth self_Portugal,0.04506256131041623
class of worker_Federal government,0.04478667960635934
country of birth father_Jamaica,0.04467028388881289
detailed industry recode_2,0.04437184841244253
country of birth mother_India,0.04374541835662556
country of birth self_Guatemala,0.04363022552473826
class of worker_Self-employed-not incorporated,0.04283175590042617
migration code-change in reg_Different state same division,0.042827990361182705
country of birth mother_Honduras,0.042547010462848193
country of birth mother_Germany,0.042030675350138116
country of birth father_Nicaragua,0.04186959668407945
country of birth father_Canada,0.041848787058224875
migration code-change in msa_NonMSA to MSA,0.041802555769406884
state of previous residence_Alaska,0.04097912780495673
detailed household and family stat_Child 18+ ever marr RP of subfamily,0.0408288034480391
race_White,0.040631676959840234
citizenship_Native- Born in the United States,0.04058748464430015
hispanic origin_All other,0.04018090220342668
country of birth self_Honduras,0.03932108965062795
country of birth father_Philippines,0.039035603923580485
country of birth self_United-States,0.03870790686380988
state of previous residence_Minnesota,0.03826014091884014
migration code-change in reg_Different division same region,0.03717138987433517
country of birth father_Poland,0.0370250328664938
detailed industry recode_28,0.036165689290288565
country of birth self_Cambodia,0.03600515323639577
country of birth self_Outlying-U S (Guam USVI etc),0.0358634898547971
country of birth father_United-States,0.035821726572834146
country of birth father_Columbia,0.03575686472002343
country of birth mother_Yugoslavia,0.03566359453325724
country of birth mother_?,0.03546199372689686
country of birth self_Haiti,0.03532733040408488
country of birth self_Jamaica,0.035172542280419376
class of worker_Never worked,0.0350257631937602
reason for unemployment_New entrant,0.0350257631937602
country of birth father_Greece,0.03484411363485725
state of previous residence_South Dakota,0.03450646074986966
detailed household and family stat_In group quarters,0.03409564412319972
country of birth father_Honduras,0.03387531277498789
weeks worked in year,0.033845471822467964
country of birth mother_Jamaica,0.033783060833365956
country of birth self_Poland,0.03347856099308211
country of birth self_Laos,0.03342108240970059
country of birth mother_Ecuador,0.03340443202664383
tax filer stat_Joint one under 65 & one 65+,0.033200617812380595
country of birth father_Laos,0.03309346948845445
country of birth self_France,0.03305652503988486
age,0.03300653701583421
detailed household and family stat_Other Rel 18+ never marr not in subfamily,0.032490768435278795
country of birth mother_Laos,0.032264483527243315
country of birth father_Ecuador,0.03206496074821551
country of birth self_Hong Kong,0.031245146678277675
detailed occupation recode_33,0.031012101661494065
country of birth mother_France,0.03099053763448895
country of birth mother_Hong Kong,0.03097846721995152
country of birth father_Haiti,0.030838926374353207
country of birth mother_Ireland,0.030679075632157157
detailed occupation recode_6,0.03055161795782205
reason for unemployment_Job leaver,0.03036483144818795
country of birth mother_Japan,0.029484940453763573
country of birth self_Germany,0.029307481124261882
country of birth self_Trinadad&Tobago,0.028477260952862488
country of birth mother_Outlying-U S (Guam USVI etc),0.0280129319528214
state of previous residence_Louisiana,0.027715171192589167
migration prev res in sunbelt_Not in universe,0.02770461868183175
detailed household and family stat_Grandchild 18+ never marr not in subfamily,0.02734560590046498
detailed occupation recode_46,0.02709194952840134
major industry code_Armed Forces,0.02709194952840134
major occupation code_Armed Forces,0.02709194952840134
detailed industry recode_51,0.02709194952840134
country of birth mother_Cambodia,0.026678669367534685
country of birth self_Dominican-Republic,0.02647444541402555
citizenship_Foreign born- U S citizen by naturalization,0.026343856443215637
detailed industry recode_4,0.025938587015894486
major industry code_Construction,0.025938587015894486
migration code-move within reg_Different state in Midwest,0.025353509051087224
country of birth father_China,0.025138576404297553
marital stat_Widowed,0.025071986737488953
country of birth self_Philippines,0.02505433797024896
migration code-change in msa_Abroad to MSA,0.024794022580652927
state of previous residence_Wyoming,0.024173514221360305
education_Some college but no degree,0.023675388809011735
state of previous residence_Connecticut,0.023645579503574286
detailed industry recode_15,0.02350542462067937
state of previous residence_Colorado,0.023417042582068316
country of birth self_Ecuador,0.02316855074919126
major industry code_Forestry and fisheries,0.0229181024166256
detailed industry recode_46,0.0229181024166256
country of birth father_Dominican-Republic,0.022824450383356017
family members under 18_Neither parent present,0.02281738247114122
state of previous residence_Kentucky,0.022438805106689094
country of birth father_India,0.02233760154617397
state of previous residence_Vermont,0.022247531279532256
country of birth father_France,0.02185875562561112
country of birth mother_Holand-Netherlands,0.02168823218785919
detailed industry recode_7,0.021290388347196786
detailed household summary in household_Group Quarters- Secondary individual,0.021179697823334336
country of birth mother_Hungary,0.021166220932904233
country of birth mother_Cuba,0.021141231078541996
detailed occupation recode_30,0.021031889702492687
state of previous residence_Iowa,0.02072729876276728
family members under 18_Father only present,0.020277254274154936
major industry code_Public administration,0.019731355200877636
country of birth self_Ireland,0.019612708632623356
country of birth father_Scotland,0.01958718661620552
country of birth father_Hong Kong,0.019555268172928405
state of previous residence_Maryland,0.019436732725838592
country of birth mother_Greece,0.01943056190111778
state of previous residence_Arkansas,0.01923138441134442
country of birth self_Greece,0.019098453912231084
state of previous residence_Ohio,0.018769176788960465
major industry code_Wholesale trade,0.018687700069244792
detailed industry recode_32,0.018687700069244792
country of birth father_Iran,0.018409874035964943
detailed household and family stat_Grandchild <18 never marr child of subfamily RP,0.018280018484166095
state of previous residence_Oklahoma,0.018188721409556005
state of previous residence_Florida,0.017882727751155274
country of birth self_Vietnam,0.017673160137323524
detailed occupation recode_43,0.017653793814435166
country of birth father_Holand-Netherlands,0.016789107705503643
country of birth self_South Korea,0.016586468339619274
migration code-change in msa_Nonmover,0.016322562327176136
migration code-move within reg_Nonmover,0.016322562327176136
live in this house 1 year ago_Yes,0.016322562327176136
migration code-change in reg_Nonmover,0.016322562327176136
state of previous residence_Oregon,0.016246763901953645
country of birth mother_South Korea,0.01623045551038272
hispanic origin_Cuban,0.015868781131417903
state of previous residence_Nebraska,0.015509416950064851
state of previous residence_Abroad,0.015168110807668899
state of previous residence_North Carolina,0.014687253741744918
state of previous residence_Maine,0.01447682952966437
full or part time employment stat_PT for econ reasons usually PT,0.01347973911504399
country of birth self_Iran,0.01322972439960085
country of birth self_India,0.013228044399221144
detailed household and family stat_Grandchild <18 never marr not in subfamily,0.013010224406002384
state of previous residence_Utah,0.012960383486901728
migration code-change in msa_Abroad to nonMSA,0.012718344121220096
country of birth father_Yugoslavia,0.012693307269022083
state of previous residence_Michigan,0.012550814262911995
detailed household and family stat_Grandchild 18+ ever marr not in subfamily,0.012287038017137684
detailed industry recode_1,0.012274318607184314
state of previous residence_Virginia,0.012107665322790286
migration code-change in reg_Abroad,0.011979857803684362
region of previous residence_Abroad,0.011979857803684362
migration code-move within reg_Abroad,0.011979857803684362
migration code-move within reg_Not in universe,0.011382056354643458
migration code-change in reg_Not in universe,0.011382056354643458
migration code-change in msa_Not in universe,0.011382056354643458
state of previous residence_New York,0.011221108215503244
detailed household and family stat_Child 18+ never marr RP of subfamily,0.010811455254742258
detailed household and family stat_Child under 18 of RP of unrel subfamily,0.010662800832421276
country of birth father_Thailand,0.010466885135434022
country of birth self_Hungary,0.010378191286373665
detailed occupation recode_20,0.01029735584743483
country of birth mother_Peru,0.010291905915417687
country of birth mother_Iran,0.010262650027938872
state of previous residence_Kansas,0.010156487130135084
detailed occupation recode_14,0.009960044105310626
detailed household and family stat_Other Rel <18 never marr not in subfamily,0.009686164155669768
detailed household and family stat_Child 18+ spouse of subfamily RP,0.009329914574323667
state of previous residence_New Jersey,0.009116124997519015
state of previous residence_Delaware,0.009063246281457864
country of birth self_Italy,0.008861105067330751
detailed household and family stat_Other Rel 18+ never marr RP of subfamily,0.008646718229614997
state of previous residence_South Carolina,0.008281174263360625
country of birth self_Holand-Netherlands,0.008227521142727644
detailed household and family stat_Other Rel <18 never marr child of subfamily RP,0.007463987966497678
country of birth mother_Panama,0.007362615248439196
country of birth father_Hungary,0.007259094226262223
country of birth father_Outlying-U S (Guam USVI etc),0.007245461367833555
state of previous residence_Alabama,0.0070699785086388535
country of birth self_Panama,0.006739783485821254
country of birth mother_Vietnam,0.006346301297575983
detailed industry recode_49,0.006271075533471781
state of previous residence_Illinois,0.006058779886775223
country of birth father_Cuba,0.005966292490737648
state of previous residence_Idaho,0.00591892152391952
country of birth father_Panama,0.005814500476178998
country of birth self_Peru,0.005787770660000272
country of birth father_Peru,0.005417229699656587
migration code-move within reg_Different state in West,0.0049467993380469645
fill inc questionnaire for veteran's admin_No,0.0047542515868848785
country of birth father_Trinadad&Tobago,0.004408974515329821
country of birth father_South Korea,0.003874417710383146
state of previous residence_Tennessee,0.0037133084751578833
country of birth mother_China,0.003615338873579213
country of birth self_Yugoslavia,0.0035736389561395326
member of a labor union_Yes,0.003484181898970295
state of previous residence_Wisconsin,0.0033762552386699084
state of previous residence_West Virginia,0.003178342342736626
detailed industry recode_8,0.002967614628468266
detailed household and family stat_Grandchild 18+ ever marr RP of subfamily,0.0024757353252663644
country of birth mother_Trinadad&Tobago,0.002474072030534245
detailed household and family stat_Child <18 never marr RP of subfamily,0.002373916009970509
detailed industry recode_16,0.0023214316479858127
detailed household and family stat_Grandchild 18+ spouse of subfamily RP,0.0020886814407523376
hispanic origin_Mexican-American,0.0019906775793838887
detailed household and family stat_Other Rel 18+ spouse of subfamily RP,0.0019154881835371045
country of birth mother_Canada,0.0018434027612741896
detailed occupation recode_45,0.0018221255155609069
hispanic origin_Chicano,0.0015749976312909614
detailed household summary in household_Child under 18 ever married,0.0014738262691289736
enroll in edu inst last wk_Not in universe,0.001350878820346718
state of previous residence_New Hampshire,0.0012976293674627885
detailed industry recode_10,0.001022986714914006
country of birth father_Japan,0.0008278035499527564
detailed household and family stat_Child <18 ever marr not in subfamily,0.000748093772411291
country of birth self_Japan,0.0007367731738401128
detailed household and family stat_Child <18 ever marr RP of subfamily,0.0006974153112035186
detailed household and family stat_Other Rel <18 ever marr RP of subfamily,0.0006916385792839661
tax filer stat_Single,0.000658016106925637
capital losses,0.0006176658692590065
country of birth self_Thailand,0.0005876639276147763
country of birth mother_Thailand,0.00035261040546299787
detailed household and family stat_Grandchild 18+ never marr RP of subfamily,0.0003032812644178209
dividends from stocks,0.00023331208350329318
country of birth father_Vietnam,0.00020479002106857903
capital gains,0.0001537954664736154
detailed household and family stat_Grandchild <18 ever marr not in subfamily,0.00010569620621408048
detailed industry recode_35,5.741362228969806e-05
detailed household and family stat_Other Rel <18 spouse of subfamily RP,4.294296768959806e-05
detailed household and family stat_Other Rel <18 never married RP of subfamily,4.0324810305994967e-05
detailed household and family stat_Child <18 spouse of subfamily RP,2.831718551416342e-05
detailed household and family stat_Grandchild <18 never marr RP of subfamily,1.675960204740654e-05
detailed household and family stat_Other Rel <18 ever marr not in subfamily,1.529770325495938e-05
wage per hour,1.1748225779694279e-05
